file,paper_id,preceding,target,trailing,url,Label,location,split
0d5f9dd2c1626d1d3a4228b838fc0bc666363a3c.json,PMC6752855,The sequences of 56 MHC class I genes (including predicted genes) from bats were retrieved from the NCBI database (S1 Table).,Higher mammal MHC I heavy chain sequences were retrieved from the Immuno Polymorphism Database (IPD) (www.ebi.ac.uk/ipd/mhc) and the UniProt database (www.uniprot.org).,"Previously deposited marsupial (opossum, tammar wallaby, koala, Tasmanian devil) and platypus MHC I transcripts were included in these analyses (S1 Table).",www.uniprot.org,1,body,test
0d5f9dd2c1626d1d3a4228b838fc0bc666363a3c.json,PMC6752855,Sequence alignments were generated with ClustalX [48] and ESPript [49].,Similarities were calculated using DNAMAN (https://www.lynnon.com/).,,https://www.lynnon.com/,3,body,train
0d5f9dd2c1626d1d3a4228b838fc0bc666363a3c.json,PMC6752855,The stereochemical quality of the final model was assessed with the program REFINE in Phenix or CCP4 (Table 1).,Structure-related figures were generated using PyMOL (http://www.pymol.org/) and COOT.,,http://www.pymol.org/,3,body,train
0d5f9dd2c1626d1d3a4228b838fc0bc666363a3c.json,PMC6752855,,"This work was supported by grants from Natural Science Foundation of China (NSFC), http://www.nsfc.gov.cn/ (grant number 81971501), the National Key Research and Development Program of China, http://program.most.gov.cn/# (grant number 2017YFC1200202), State’s Key Project of Research and Development Plan, International Cooperation in Science and Technology Innovation, http://program.most.gov.cn/# (grant number 2016YFE0205800), and the Major Special Projects for Infectious Disease Research of China, http://www.nmp.gov.cn/ (grant number 2016ZX10004222-003).","WJL is supported by the Excellent Young Scientist Program of the NSFC, http://www.nsfc.gov.cn/ (grant number 81822040). GFG is a leading principal investigator of the NSFC Innovative Research Group, http://www.nsfc.gov.cn/ (grant number 81621091).",http://program.most.gov.cn/#,0,body,test
0d5f9dd2c1626d1d3a4228b838fc0bc666363a3c.json,PMC6752855,,"WJL is supported by the Excellent Young Scientist Program of the NSFC, http://www.nsfc.gov.cn/ (grant number 81822040). GFG is a leading principal investigator of the NSFC Innovative Research Group, http://www.nsfc.gov.cn/ (grant number 81621091).","L-FW is funded in part by the Singapore National Research Foundation Grants, https://www.nrf.gov.sg/ (grant numbers NRF2012NRF-CRP001-056 and NRF2016NRF-NSFC002-013).",http://www.nsfc.gov.cn/,0,body,test
0d5f9dd2c1626d1d3a4228b838fc0bc666363a3c.json,PMC6752855,,"L-FW is funded in part by the Singapore National Research Foundation Grants, https://www.nrf.gov.sg/ (grant numbers NRF2012NRF-CRP001-056 and NRF2016NRF-NSFC002-013).","The funders had no role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript.",https://www.nrf.gov.sg/ ,0,body,test
0d5f9dd2c1626d1d3a4228b838fc0bc666363a3c.json,PMC6752855,"The candidate peptides were predicted and selected according to the recently reported motif, by which the two PtalN�01:01–binding peptides, HeV1 and HeV2, derived from HeV were also synthesized (S2 Table) [30].","The potential binding scores of the selected peptides were also predicted through the online NetMHCpan 4.0 server (http://www.cbs.dtu.dk/services/NetMHCpan/) [50] and Rosetta FlexPepDock, which is based on structure modeling [51,52], so that we prefer choose peptides that conform to the motif of Ptal-N�01:01 [30]",The peptide purity was determined to be >95% by analytical HPLC and mass spectrometry.,http://www.cbs.dtu.dk/services/NetMHCpan/,3,body,test
0e23b62f7dca85c31f4f90603d2a28dfc7177947.json,PMC2806919,,"To identify the independence and/or redundancy of the gene expression over time (i.e., 12-, 24-, and 48-hrs p.i.) and at each time point, we produced Venn diagrams at Venny website (http://bioinfogp.cnb.csic.es/tools/venny/index.html).","For functional profiling of selected genes, we employed FatiGo (http://www.babelomics.org/), which is a web-based functional analysis tool to determine whether any given cluster of genes has an enriched biologically relevant term, when compared to other gene clusters [77,78].",http://bioinfogp.cnb.csic.es/tools/venny/index.html,3,body,test
0e23b62f7dca85c31f4f90603d2a28dfc7177947.json,PMC2806919,"To identify the independence and/or redundancy of the gene expression over time (i.e., 12-, 24-, and 48-hrs p.i.) and at each time point, we produced Venn diagrams at Venny website (http://bioinfogp.cnb.csic.es/tools/venny/index.html).","For functional profiling of selected genes, we employed FatiGo (http://www.babelomics.org/), which is a web-based functional analysis tool to determine whether any given cluster of genes has an enriched biologically relevant term, when compared to other gene clusters [77,78].","Specifically, all of the genes whose expressions were significantly altered (i.e., both up- and down-regulated genes) in infected 2B4 cells at each time point, when compared to those of mock-infected cells, were analyzed against the available human genomes to assign the most characteristic gene ontology (GO) terms, such as the biological process and the molecular function, to each cluster of genes.",http://www.babelomics.org/,3,body,test
0e23b62f7dca85c31f4f90603d2a28dfc7177947.json,PMC2806919,"Specifically, all of the genes whose expressions were significantly altered (i.e., both up- and down-regulated genes) in infected 2B4 cells at each time point, when compared to those of mock-infected cells, were analyzed against the available human genomes to assign the most characteristic gene ontology (GO) terms, such as the biological process and the molecular function, to each cluster of genes.","In addition, the TRANSFAC database (http://www.gene-regulation.com/pub/databases.html) was employed for exploring transcription factors (TFs), their DNAbinding sites, and regulated genes.","For the statistical analysis, we used Fisher’s exact test for comparing two groups of genes for extracting the GO terms whose distribution among the groups was significantly different.",http://www.gene-regulation.com/pub/databases.html,1,body,train
